pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,isTopspin,isFlat,isKick,gameNumber,server_changed,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-30,1-0,0-0,,283119,,,9,,14,Ad,Ruining Huang,Near,,,,,,,,,,47.92033573925784,526.6492563,Crosscourt,Forehand,,,,,,,,,,-38.04990704,-346.4039643,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
15-30,1-0,0-0,,284149,1.0,284149.0,9,,15,Ad,Ruining Huang,Near,,,,,,,,,,-46.23827647,-499.9244751,Crosscourt,Forehand,,,,,,,,,,111.98855533677504,544.9726597,,,,,1.0,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,Gianluca Ballotta,1,,,Long
15-40,1-0,0-0,1.0,309519,,,10,1.0,1,Deuce,Ruining Huang,Near,1.0,T,-23.97959318,165.27639982493648,,,,,,43.434831583529615,-453.3619204,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,1.0,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,1st Serve In,T,
15-40,1-0,0-0,,310470,,,10,1.0,2,Deuce,Ruining Huang,Near,,,,,,,,,,-38.76238517,481.19595363054754,Crosscourt,Forehand,,,,,,,,,,143.26842738400296,-443.7874453,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,,,,,Deep
15-40,1-0,0-0,,311920,,,10,1.0,3,Deuce,Ruining Huang,Near,,,,,,,,,,135.2385225283641,-505.307103,Crosscourt,Backhand,,,,,,,,,,-68.33313648,391.4648184599903,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Deep
15-40,1-0,0-0,,313549,1.0,313549.0,10,1.0,4,Deuce,Ruining Huang,Near,,,,,,,,,,-63.35799978,465.04806977228816,Crosscourt,Forehand,,,,,,,,,,172.1011318896749,-234.8321249,,,1.0,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,1.0,,,Ruining Huang,1,,,
30-40,1-0,0-0,1.0,330549,,,11,1.0,1,Ad,Ruining Huang,Near,1.0,Wide,125.68555883633051,232.78219050731627,,,,,,-50.57427275,-449.3875984,,,,,,,,,,,,,,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,,1.0,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,1st Serve In,Wide,
30-40,1-0,0-0,,331450,,,11,1.0,2,Ad,Ruining Huang,Near,,,,,,,,,,194.37267607164063,475.21525590526625,Down the Line,Forehand,,,,,,,,,,9.257699037615517,-171.3209044,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,,1.0,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,,,,,Short
30-40,1-0,0-0,,332920,,,11,1.0,3,Ad,Ruining Huang,Near,,,,,,,,,,-62.46091426,-388.0854276,Down the Line,Forehand,,,,,,,,,,-54.71425525,374.9279691599113,,,,,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Ruining Huang,,,,,,,,Deep
30-40,1-0,0-0,,334170,1.0,334170.0,11,1.0,4,Deuce,Ruining Huang,Near,,,,,,,,,,-64.55413933,529.6396052053257,Crosscourt,Backhand,,,,,,,,,,3.9634514435675063,74.55505249,,,,1.0,,UCLA,1/17/25,,,,,,UC Irvine,Gianluca Ballotta,Ruining Huang,Left,Left,,Hard,,1.0,,,2,False,,Gianluca Ballotta,Gianluca Ballotta,,,,Ruining Huang,1,,,
